Player;Runs ;NO;Min ;BF ;4s;6s;SR;INNs;Opp;Ground ;Date;
DJ Bravo (WI);38;1;42;30;3;1;126.66;2;v Zimbabwe;North Sound;02-Mar-13;
JM Bairstow (ENG);38;0;36;22;3;2;172.72;1;v New Zealand;Auckland;09-Feb-13;
V Kohli (INDIA);38;0;25;20;7;0;190;1;v England;Mumbai;22-Dec-12;
MS Dhoni (INDIA);38;0;23;18;3;2;211.11;1;v England;Mumbai;22-Dec-12;
F du Plessis (SA);38;1;45;32;6;0;118.75;2;v New Zealand;Durban;21-Dec-12;
Yuvraj Singh (INDIA);38;0;21;21;2;3;180.95;2;v England;Pune;20-Dec-12;
KA Pollard (WI);38;0;22;15;3;3;253.33;1;v Australia;Colombo (RPS);05-Oct-12;
MJ Guptill (NZ);38;0;34;30;6;0;126.66;1;v Sri Lanka;Pallekele;27-Sep-12;
SK Raina (INDIA);38;0;42;33;6;0;115.15;1;v Afghanistan;Colombo (RPS);19-Sep-12;
JP Duminy (SA);38;0;23;20;2;2;190;1;v New Zealand;Auckland;22-Feb-12;
BB McCullum (NZ);38;0;38;24;4;1;158.33;2;v Zimbabwe;Hamilton;14-Feb-12;
Asad Shafiq (PAK);38;0;32;23;6;1;165.21;1;v Zimbabwe;Harare;16-Sep-11;
GC Smith (SA);38;0;61;42;4;0;90.47;2;v Pakistan;Abu Dhabi;27-Oct-10;
EJG Morgan (ENG);38;1;33;24;6;0;158.33;2;v Pakistan;Cardiff;05-Sep-10;
DL Vettori (NZ);38;0;45;34;1;2;111.76;1;v Pakistan;Bridgetown;08-May-10;
CU Jayasinghe (SL);38;0;38;28;3;1;135.71;1;v India;Mohali;12-Dec-09;
KC Sangakkara (SL);38;0;42;31;2;1;122.58;2;v Pakistan;Colombo (RPS);12-Aug-09;
OA Shah (ENG);38;0;52;33;3;2;115.15;1;v South Africa;Nottingham;11-Jun-09;
DA Warner (AUS);38;0;37;29;4;1;131.03;1;v South Africa;Johannesburg;27-Mar-09;
RT Ponting (AUS);38;0;39;31;3;1;122.58;2;v South Africa;Brisbane;13-Jan-09;
KA Pollard (WI);38;0;33;24;4;2;158.33;2;v New Zealand;Hamilton;28-Dec-08;
MJ Santner (NZ);37;0;43;28;4;0;132.14;2;v Pakistan;Auckland;25-Jan-18;
CR Brathwaite (WI);37;1;-;24;2;2;154.16;1;v Pakistan;Port of Spain;02-Apr-17;
EMDY Munaweera (SL);37;0;-;25;3;2;148;2;v Australia;Adelaide;22-Feb-17;
S Prasanna (SL);37;1;26;16;3;3;231.25;2;v South Africa;Cape Town;25-Jan-17;
Shoaib Malik (PAK);37;0;56;28;3;1;132.14;1;v West Indies;Dubai (DSC);24-Sep-16;
AD Hales (ENG);37;0;40;26;5;0;142.3;1;v Pakistan;Manchester;07-Sep-16;
MN Samuels (WI);37;0;31;27;8;0;137.03;2;v England;Mumbai;16-Mar-16;
LD Chandimal (SL);37;0;53;37;4;0;100;2;v Bangladesh;Dhaka;28-Feb-16;
Gulbadin Naib (AFG);37;0;-;20;2;3;185;1;v Zimbabwe;Sharjah;08-Jan-16;
AD Mathews (SL);37;1;17;13;2;4;284.61;1;v West Indies;Pallekele;09-Nov-15;
Najibullah Zadran (AFG);37;1;26;26;2;2;142.3;2;v Zimbabwe;Bulawayo;26-Oct-15;
Soumya Sarkar (BDESH);37;0;31;21;6;1;176.19;2;v South Africa;Dhaka;07-Jul-15;
Mukhtar Ahmed (PAK);37;0;60;30;5;1;123.33;1;v Bangladesh;Dhaka;24-Apr-15;
KS Williamson (NZ);37;0;48;28;5;0;132.14;2;v West Indies;Roseau;06-Jul-14;
KC Sangakkara (SL);37;0;59;38;1;1;97.36;2;v Bangladesh;Chittagong;14-Feb-14;
Sohaib Maqsood (PAK);37;0;42;26;2;1;142.3;2;v South Africa;Dubai (DSC);15-Nov-13;
F du Plessis (SA);37;1;41;40;4;1;92.5;2;v Pakistan;Dubai (DSC);13-Nov-13;
SR Watson (AUS);37;0;30;16;4;2;231.25;1;v England;Southampton;29-Aug-13;
BMAJ Mendis (SL);37;0;27;17;2;3;217.64;1;v Bangladesh;Pallekele;31-Mar-13;
DJ Bravo (WI);37;0;37;31;1;3;119.35;1;v Australia;Colombo (RPS);05-Oct-12;
CR Ervine (ZIM);37;0;71;40;4;0;92.5;1;v South Africa;Hambantota;20-Sep-12;
J Charles (WI);37;0;28;21;6;1;176.19;1;v Australia;Bridgetown;30-Mar-12;
T Taibu (ZIM);37;1;42;28;3;1;132.14;2;v Pakistan;Harare;18-Sep-11;
YK Pathan (INDIA);37;1;27;24;2;3;154.16;2;v Zimbabwe;Harare;12-Jun-10;
GC Smith (SA);37;0;52;31;3;1;119.35;1;v West Indies;North Sound;19-May-10;
CK Kapugedera (SL);37;1;27;16;2;3;231.25;2;v India;Gros Islet;11-May-10;
Kamran Akmal (PAK);37;0;33;33;3;2;112.12;1;v South Africa;Gros Islet;10-May-10;
Yuvraj Singh (INDIA);37;0;43;30;3;2;123.33;1;v South Africa;Gros Islet;02-May-10;
BJ Haddin (AUS);37;1;-;16;2;2;231.25;1;v West Indies;Hobart;21-Feb-10;
SR Watson (AUS);37;0;30;19;1;4;194.73;1;v West Indies;Hobart;21-Feb-10;
TM Dowlin (WI);37;1;41;37;5;0;100;2;v Bangladesh;Basseterre;02-Aug-09;
DS Smith (WI);37;0;34;27;3;2;137.03;2;v Bangladesh;Basseterre;02-Aug-09;
Kamran Akmal (PAK);37;0;33;28;2;2;132.14;2;v Sri Lanka;Lord's;21-Jun-09;
RS Bopara (ENG);37;0;45;37;3;1;100;1;v India;Lord's;14-Jun-09;
JA Morkel (SA);37;0;27;19;4;2;194.73;2;v Australia;Johannesburg;27-Mar-09;
DJM Short (AUS);36;1;67;33;3;1;109.09;2;v England;Melbourne;10-Feb-18;
DAS Gunaratne (SL);36;0;65;37;3;0;97.29;1;v India;Mumbai;24-Dec-17;
F Behardien (SA);36;1;24;17;2;2;211.76;1;v Bangladesh;Bloemfontein;26-Oct-17;
MN Samuels (WI);36;1;-;29;5;1;124.13;2;v India;Kingston;09-Jul-17;
AD Hales (ENG);36;0;63;28;2;2;128.57;1;v South Africa;Cardiff;25-Jun-17;
M Mosehle (SA);36;0;36;22;1;4;163.63;2;v England;Cardiff;25-Jun-17;
Imrul Kayes (BDESH);36;0;-;25;4;1;144;1;v Sri Lanka;Colombo (RPS);06-Apr-17;
F du Plessis (SA);36;0;36;25;1;3;144;1;v New Zealand;Auckland;17-Feb-17;
MS Dhoni (INDIA);36;1;47;27;3;0;133.33;1;v England;Kanpur;26-Jan-17;
UT Khawaja (AUS);36;0;-;22;2;2;163.63;1;v Sri Lanka;Pallekele;06-Sep-16;
JC Buttler (ENG);36;0;29;22;1;3;163.63;1;v West Indies;Kolkata;03-Apr-16;
TM Dilshan (SL);36;0;54;40;4;1;90;1;v South Africa;Delhi;28-Mar-16;
LRPL Taylor (NZ);36;1;26;23;2;1;156.52;1;v Pakistan;Mohali;22-Mar-16;
MN Waller (ZIM);36;0;24;18;1;3;200;1;v Bangladesh;Khulna;22-Jan-16;
C Munro (NZ);36;0;33;26;2;2;138.46;1;v Sri Lanka;Mount Maunganui;07-Jan-16;
GSNFG Jayasuriya (SL);36;0;33;22;2;2;163.63;1;v West Indies;Pallekele;09-Nov-15;
HM Amla (SA);36;0;33;24;5;0;150;2;v India;Dharamsala;02-Oct-15;
Sikandar Raza (ZIM);36;0;39;36;1;0;100;2;v Pakistan;Harare;29-Sep-15;
F Behardien (SA);36;0;33;27;3;1;133.33;2;v New Zealand;Centurion;16-Aug-15;
LMP Simmons (WI);36;0;44;34;3;2;105.88;1;v New Zealand;Roseau;06-Jul-14;
MM Ali (ENG);36;0;35;23;6;1;156.52;1;v New Zealand;Chittagong;22-Mar-14;
V Kohli (INDIA);36;1;45;32;4;1;112.5;2;v Pakistan;Dhaka;21-Mar-14;
CH Gayle (WI);36;0;40;30;1;4;120;2;v England;Bridgetown;11-Mar-14;
DA Miller (SA);36;0;25;21;1;2;171.42;1;v Sri Lanka;Hambantota;04-Aug-13;
AB de Villiers (SA);36;0;30;22;4;2;163.63;2;v Pakistan;Centurion;03-Mar-13;
HM Amla (SA);36;0;33;27;6;0;133.33;2;v England;Birmingham;12-Sep-12;
J Charles (WI);36;0;43;32;4;1;112.5;1;v New Zealand;Lauderhill;01-Jul-12;
Ahmed Shehzad (PAK);36;0;80;42;3;1;85.71;2;v Sri Lanka;Hambantota;01-Jun-12;
AJ Finch (AUS);36;0;33;23;6;0;156.52;1;v India;Melbourne;03-Feb-12;
MR Marsh (AUS);36;0;28;21;0;4;171.42;1;v South Africa;Johannesburg;16-Oct-11;
J Charles (WI);36;0;45;39;3;1;92.3;1;v England;The Oval;23-Sep-11;
DA Miller (SA);36;1;26;24;5;1;150;2;v Zimbabwe;Bloemfontein;08-Oct-10;
NL McCullum (NZ);36;1;53;39;2;0;92.3;1;v Sri Lanka;Lauderhill;23-May-10;
GC Smith (SA);36;0;35;28;1;2;128.57;2;v India;Gros Islet;02-May-10;
GJ Hopkins (NZ);36;0;20;17;3;2;211.76;1;v Australia;Christchurch;28-Feb-10;
N Deonarine (WI);36;1;42;29;4;0;124.13;1;v Australia;Sydney;23-Feb-10;
Umar Akmal (PAK);36;0;55;41;3;0;87.8;2;v England;Dubai (DSC);20-Feb-10;
RG Sharma (INDIA);36;0;34;23;3;2;156.52;1;v Bangladesh;Nottingham;06-Jun-09;
MV Boucher (SA);36;1;43;22;5;0;163.63;2;v Australia;Johannesburg;27-Mar-09;
NT Broom (NZ);36;0;31;26;6;0;138.46;2;v Australia;Sydney;15-Feb-09;
AB de Villiers (SA);36;0;32;26;2;1;138.46;1;v Bangladesh;Johannesburg;05-Nov-08;
L Ronchi (AUS);36;0;33;22;6;1;163.63;1;v West Indies;Bridgetown;20-Jun-08;
XM Marshall (WI);36;0;24;15;3;3;240;2;v Australia;Bridgetown;20-Jun-08;
AB de Villiers (SA);35;0;27;19;2;2;184.21;2;v England;Cardiff;25-Jun-17;
Noor Ali Zadran (AFG);35;0;-;19;5;2;184.21;1;v West Indies;Basseterre;05-Jun-17;
MN Samuels (WI);35;0;-;36;2;2;97.22;2;v Afghanistan;Basseterre;02-Jun-17;
TAM Siriwardana (SL);35;0;-;27;1;2;129.62;2;v Australia;Adelaide;22-Feb-17;
C Munro (NZ);35;0;51;33;1;2;106.06;1;v Bangladesh;Kolkata;26-Mar-16;
Tamim Iqbal (BDESH);35;0;32;32;5;0;109.37;2;v India;Bengaluru;23-Mar-16;
MR Marsh (AUS);35;0;43;25;1;2;140;1;v South Africa;Durban;04-Mar-16;
Yuvraj Singh (INDIA);35;0;30;18;3;3;194.44;2;v Sri Lanka;Dhaka;01-Mar-16;
LD Chandimal (SL);35;0;57;35;1;2;100;2;v India;Pune;09-Feb-16;
PJ Moor (ZIM);35;0;-;32;2;2;109.37;2;v Afghanistan;Sharjah;10-Jan-16;
Shoaib Malik (PAK);35;0;41;24;2;1;145.83;1;v Zimbabwe;Harare;27-Sep-15;
TAM Siriwardana (SL);35;0;24;18;3;2;194.44;2;v Pakistan;Colombo (RPS);30-Jul-15;
BB McCullum (NZ);35;0;17;15;2;4;233.33;2;v England;Manchester;23-Jun-15;
BJ Hodge (AUS);35;0;39;26;2;1;134.61;1;v West Indies;Dhaka;28-Mar-14;
SK Raina (INDIA);35;1;34;28;4;1;125;2;v Pakistan;Dhaka;21-Mar-14;
SR Watson (AUS);35;0;38;28;2;2;125;2;v South Africa;Centurion;14-Mar-14;
Ahmed Shehzad (PAK);35;0;-;37;6;0;94.59;2;v Afghanistan;Sharjah;08-Dec-13;
E Chigumbura (ZIM);35;1;34;19;2;2;184.21;2;v Pakistan;Harare;24-Aug-13;
DJ Bravo (WI);35;0;61;44;2;1;79.54;2;v Pakistan;Kingstown;28-Jul-13;
NLTC Perera (SL);35;1;22;15;3;2;233.33;1;v Australia;Melbourne;28-Jan-13;
AD Mathews (SL);35;1;44;27;3;1;129.62;2;v Australia;Sydney;26-Jan-13;
SK Raina (INDIA);35;1;50;24;3;1;145.83;1;v England;Mumbai;22-Dec-12;
TM Dilshan (SL);35;0;78;43;3;0;81.39;1;v Pakistan;Colombo (RPS);04-Oct-12;
C Kieswetter (ENG);35;0;38;25;4;2;140;2;v India;Colombo (RPS);23-Sep-12;
JEC Franklin (NZ);35;0;64;36;2;1;97.22;1;v Bangladesh;Pallekele;21-Sep-12;
DJ Bravo (WI);35;1;18;11;1;4;318.18;1;v New Zealand;Lauderhill;01-Jul-12;
BB McCullum (NZ);35;0;39;31;4;1;112.9;1;v South Africa;Hamilton;19-Feb-12;
Nasir Hossain (BDESH);35;1;44;38;2;1;92.1;2;v Pakistan;Dhaka;29-Nov-11;
MN Samuels (WI);35;1;52;35;3;0;100;1;v England;The Oval;25-Sep-11;
BJ Haddin (AUS);35;0;-;30;3;1;116.66;1;v Sri Lanka;Perth;31-Oct-10;
JP Duminy (SA);35;1;31;22;2;2;159.09;2;v Zimbabwe;Bloemfontein;08-Oct-10;
Umar Akmal (PAK);35;1;43;30;2;0;116.66;1;v England;Cardiff;05-Sep-10;
MH Yardy (ENG);35;1;25;26;4;0;134.61;2;v Pakistan;Cardiff;05-Sep-10;
DJ Hussey (AUS);35;0;27;22;3;2;159.09;1;v India;Bridgetown;07-May-10;
KC Sangakkara (SL);35;0;55;35;3;0;100;1;v New Zealand;Nottingham;16-Jun-09;
Shahzaib Hasan (PAK);35;0;37;28;4;2;125;2;v New Zealand;The Oval;13-Jun-09;
SK Raina (INDIA);35;0;48;27;5;1;129.62;2;v Sri Lanka;Colombo (RPS);10-Feb-09;
Shoaib Malik (PAK);35;0;22;18;2;3;194.44;1;v Bangladesh;Karachi;20-Apr-08;
SF Mire (ZIM);34;0;-;21;5;2;161.9;1;v Afghanistan;Sharjah;05-Feb-18;
Babar Azam (PAK);34;1;-;31;2;0;109.67;1;v Sri Lanka;Lahore;29-Oct-17;
Soumya Sarkar (BDESH);34;0;-;17;4;2;200;1;v Sri Lanka;Colombo (RPS);06-Apr-17;
Mosaddek Hossain (BDESH);34;1;-;30;3;0;113.33;1;v Sri Lanka;Colombo (RPS);04-Apr-17;
SK Raina (INDIA);34;0;35;23;4;1;147.82;1;v England;Kanpur;26-Jan-17;
Khalid Latif (PAK);34;1;65;32;4;1;106.25;2;v West Indies;Dubai (DSC);23-Sep-16;
CJ Anderson (NZ);34;0;60;42;3;0;80.95;1;v India;Nagpur;15-Mar-16;
JE Root (ENG);34;0;22;17;4;2;200;1;v South Africa;Johannesburg;21-Feb-16;
LM Jongwe (ZIM);34;0;51;38;1;0;89.47;2;v Bangladesh;Dhaka;15-Nov-15;
D Ramdin (WI);34;1;36;22;1;2;154.54;1;v Sri Lanka;Colombo (RPS);11-Nov-15;
J Charles (WI);34;0;42;25;1;3;136;1;v Sri Lanka;Colombo (RPS);11-Nov-15;
Mohammad Shahzad (AFG);34;0;28;21;6;0;161.9;2;v Zimbabwe;Bulawayo;26-Oct-15;
M Vijay (INDIA);34;0;35;19;5;1;178.94;1;v Zimbabwe;Harare;17-Jul-15;
DA Miller (SA);34;1;-;26;3;0;130.76;1;v Australia;Sydney;09-Nov-14;
JC Buttler (ENG);34;0;37;24;2;1;141.66;2;v South Africa;Chittagong;29-Mar-14;
DJG Sammy (WI);34;1;16;13;2;3;261.53;2;v Australia;Dhaka;28-Mar-14;
CH Gayle (WI);34;0;49;33;1;2;103.03;1;v India;Dhaka;23-Mar-14;
EJG Morgan (ENG);34;0;31;20;2;2;170;2;v Australia;Sydney;02-Feb-14;
Sharjeel Khan (PAK);34;0;49;31;3;0;109.67;2;v Sri Lanka;Dubai (DSC);11-Dec-13;
L Ronchi (NZ);34;1;48;25;3;1;136;1;v Sri Lanka;Pallekele;21-Nov-13;
Mahmudullah (BDESH);34;0;30;25;0;3;136;2;v New Zealand;Dhaka;06-Nov-13;
NJ Maddinson (AUS);34;0;19;16;6;1;212.5;1;v India;Rajkot;10-Oct-13;
CR Ervine (ZIM);34;0;46;39;5;0;87.17;1;v West Indies;North Sound;02-Mar-13;
LJ Wright (ENG);34;0;29;21;3;1;161.9;1;v India;Pune;20-Dec-12;
Yuvraj Singh (INDIA);34;0;49;26;1;2;130.76;2;v New Zealand;Chennai;11-Sep-12;
SK Raina (INDIA);34;1;43;25;3;1;136;1;v Sri Lanka;Pallekele;07-Aug-12;
Asad Shafiq (PAK);34;0;48;32;3;0;106.25;2;v England;Abu Dhabi;27-Feb-12;
J Botha (SA);34;0;40;28;3;1;121.42;2;v Australia;Johannesburg;16-Oct-11;
CD Barnwell (WI);34;1;12;16;2;3;212.5;2;v India;Port of Spain;04-Jun-11;
Abdul Razzaq (PAK);34;1;14;11;3;3;309.09;1;v New Zealand;Christchurch;30-Dec-10;
Mohammad Hafeez (PAK);34;0;36;23;5;1;147.82;1;v New Zealand;Christchurch;30-Dec-10;
SB Styris (NZ);34;0;14;14;3;3;242.85;1;v Pakistan;Hamilton;28-Dec-10;
SPD Smith (AUS);34;0;-;23;3;1;147.82;1;v Sri Lanka;Perth;31-Oct-10;
DJ Hussey (AUS);34;0;29;28;4;1;121.42;2;v Pakistan;Birmingham;05-Jul-10;
Salman Butt (PAK);34;0;39;26;3;1;130.76;1;v England;Bridgetown;06-May-10;
JH Kallis (SA);34;0;35;33;0;2;103.03;1;v Afghanistan;Bridgetown;05-May-10;
E Chigumbura (ZIM);34;0;27;19;2;2;178.94;1;v West Indies;Port of Spain;28-Feb-10;
TM Dilshan (SL);34;0;-;33;5;0;103.03;1;v India;Nagpur;09-Dec-09;
Shoaib Malik (PAK);34;0;55;39;2;0;87.17;1;v South Africa;Nottingham;18-Jun-09;
LJ Wright (ENG);34;0;31;16;6;1;212.5;1;v Pakistan;The Oval;07-Jun-09;
RJ Peterson (SA);34;0;44;27;3;2;125.92;1;v Australia;Centurion;29-Mar-09;
Rashid Khan (AFG);33;0;-;27;2;2;122.22;1;v West Indies;Basseterre;02-Jun-17;
TC Bruce (NZ);33;0;38;27;3;2;122.22;2;v South Africa;Auckland;17-Feb-17;
Shakib Al Hasan (BDESH);33;0;44;25;3;1;132;1;v Australia;Bengaluru;21-Mar-16;
UT Khawaja (AUS);33;0;38;25;4;1;132;2;v South Africa;Cape Town;09-Mar-16;
DA Warner (AUS);33;0;40;27;3;0;122.22;2;v South Africa;Cape Town;09-Mar-16;
Mahmudullah (BDESH);33;1;18;13;2;2;253.84;1;v India;Dhaka;06-Mar-16;
DA Miller (SA);33;0;16;18;2;2;183.33;1;v Australia;Johannesburg;06-Mar-16;
KS Williamson (NZ);33;0;47;34;3;1;97.05;1;v Pakistan;Wellington;22-Jan-16;
Mohammad Shahzad (AFG);33;0;-;17;2;3;194.11;1;v Zimbabwe;Sharjah;08-Jan-16;
H Masakadza (ZIM);33;0;-;24;3;2;137.5;2;v Afghanistan;Sharjah;08-Jan-16;
JC Buttler (ENG);33;0;38;22;1;3;150;1;v Pakistan;Dubai (DSC);27-Nov-15;
E Chigumbura (ZIM);33;0;40;28;3;0;117.85;1;v Afghanistan;Bulawayo;28-Oct-15;
Mohammad Nabi (AFG);33;1;29;25;0;2;132;2;v Zimbabwe;Bulawayo;26-Oct-15;
Mohammad Rizwan (PAK);33;1;41;32;1;1;103.12;1;v Zimbabwe;Harare;27-Sep-15;
AB de Villiers (SA);33;0;22;21;5;0;157.14;2;v New Zealand;Durban;14-Aug-15;
MJ Guptill (NZ);33;0;35;24;5;0;137.5;1;v Zimbabwe;Harare;09-Aug-15;
AM Rahane (INDIA);33;0;44;32;2;0;103.12;1;v Zimbabwe;Harare;17-Jul-15;
Ahmed Shehzad (PAK);33;0;55;36;1;0;91.66;2;v New Zealand;Dubai (DSC);05-Dec-14;
L Ronchi (NZ);33;0;43;28;4;0;117.85;1;v Pakistan;Dubai (DSC);04-Dec-14;
AJ Finch (AUS);33;0;-;25;2;2;132;2;v South Africa;Sydney;09-Nov-14;
S Dhawan (INDIA);33;0;40;28;2;2;117.85;2;v England;Birmingham;07-Sep-14;
Mahmudullah (BDESH);33;1;27;23;5;1;143.47;1;v India;Dhaka;28-Mar-14;
MJ Lumb (ENG);33;0;42;24;4;1;137.5;1;v New Zealand;Chittagong;22-Mar-14;
Umar Akmal (PAK);33;0;34;30;2;0;110;1;v India;Dhaka;21-Mar-14;
D Ramdin (WI);33;0;33;21;4;1;157.14;2;v England;Bridgetown;13-Mar-14;
CA Lynn (AUS);33;1;21;19;1;3;173.68;1;v England;Hobart;29-Jan-14;
DPMD Jayawardene (SL);33;0;27;16;7;0;206.25;2;v South Africa;Hambantota;06-Aug-13;
MDKJ Perera (SL);33;0;36;22;2;1;150;2;v Australia;Sydney;26-Jan-13;
MS Dhoni (INDIA);33;0;39;23;4;0;143.47;1;v Pakistan;Ahmedabad;28-Dec-12;
DA Miller (SA);33;0;35;18;2;2;183.33;1;v New Zealand;East London;23-Dec-12;
JC Buttler (ENG);33;1;28;21;0;3;157.14;1;v India;Pune;20-Dec-12;
DPMD Jayawardene (SL);33;0;52;36;2;0;91.66;2;v West Indies;Colombo (RPS);07-Oct-12;
RJ Nicol (NZ);33;0;29;28;3;1;117.85;2;v Pakistan;Pallekele;23-Sep-12;
SR Watson (AUS);33;0;48;28;2;2;117.85;2;v Pakistan;Dubai (DSC);07-Sep-12;
KP Pietersen (ENG);33;0;26;21;4;1;157.14;2;v Pakistan;Dubai (DSC);23-Feb-12;
HM Amla (SA);33;0;32;22;4;1;150;1;v New Zealand;Auckland;22-Feb-12;
RJ Nicol (NZ);33;0;21;19;5;1;173.68;2;v South Africa;Auckland;22-Feb-12;
Asad Shafiq (PAK);33;0;-;33;3;0;100;2;v Sri Lanka;Abu Dhabi;25-Nov-11;
CA Ingram (SA);33;0;39;28;3;1;117.85;1;v Australia;Cape Town;13-Oct-11;
DR Smith (WI);33;0;21;21;3;2;157.14;1;v England;The Oval;23-Sep-11;
SK Raina (INDIA);33;0;26;19;2;3;173.68;1;v England;Manchester;31-Aug-11;
KP Pietersen (ENG);33;0;31;23;5;0;143.47;2;v India;Manchester;31-Aug-11;
Misbah-ul-Haq (PAK);33;0;65;38;2;1;86.84;1;v South Africa;Abu Dhabi;27-Oct-10;
LE Bosman (SA);33;0;30;15;2;3;220;2;v Zimbabwe;Bloemfontein;08-Oct-10;
SM Davies (ENG);33;0;41;27;3;0;122.22;2;v Pakistan;Cardiff;05-Sep-10;
Kamran Akmal (PAK);33;0;37;25;4;1;132;1;v Australia;Birmingham;06-Jul-10;
DJ Hussey (AUS);33;0;46;27;3;0;122.22;2;v Pakistan;Birmingham;06-Jul-10;
TM Dilshan (SL);33;1;61;49;2;0;67.34;2;v New Zealand;Lauderhill;23-May-10;
DA Miller (SA);33;0;37;26;0;2;126.92;1;v West Indies;North Sound;20-May-10;
MJ Lumb (ENG);33;0;44;26;4;1;126.92;2;v Sri Lanka;Gros Islet;13-May-10;
TM Dilshan (SL);33;0;30;26;5;0;126.92;2;v India;Gros Islet;11-May-10;
BB McCullum (NZ);33;0;46;32;4;0;103.12;1;v England;Gros Islet;10-May-10;
BB McCullum (NZ);33;0;36;29;5;0;113.79;1;v Pakistan;Bridgetown;08-May-10;
JD Ryder (NZ);33;0;43;28;2;2;117.85;2;v South Africa;Bridgetown;06-May-10;
Shahid Afridi (PAK);33;0;21;24;3;1;137.5;2;v Australia;Gros Islet;02-May-10;
Shoaib Malik (PAK);33;0;32;26;3;0;126.92;1;v England;Dubai (DSC);19-Feb-10;
IJL Trott (ENG);33;0;34;25;5;0;132;1;v South Africa;Johannesburg;13-Nov-09;
DA Warner (AUS);33;0;-;26;3;0;126.92;1;v England;Manchester;30-Aug-09;
YK Pathan (INDIA);33;1;29;17;1;2;194.11;2;v England;Lord's;14-Jun-09;
GC Smith (SA);33;0;55;35;4;0;94.28;1;v New Zealand;Lord's;09-Jun-09;
OA Shah (ENG);33;0;26;32;3;1;103.12;1;v Pakistan;The Oval;07-Jun-09;
SR Watson (AUS);33;0;-;14;5;0;235.71;1;v Pakistan;Dubai (DSC);07-May-09;
ST Jayasuriya (SL);33;0;28;17;3;2;194.11;1;v India;Colombo (RPS);10-Feb-09;
Salman Butt (PAK);33;1;63;48;2;1;68.75;2;v Zimbabwe;King City (NW);12-Oct-08;
TM Dilshan (SL);33;0;-;37;3;0;89.18;2;v Zimbabwe;King City (NW);10-Oct-08;
MK Pandey (INDIA);32;0;48;29;4;0;110.34;2;v Sri Lanka;Mumbai;24-Dec-17;
MK Pandey (INDIA);32;1;30;18;2;2;177.77;1;v Sri Lanka;Cuttack;20-Dec-17;
S Samarawickrama (SL);32;0;-;31;2;0;103.22;1;v Pakistan;Abu Dhabi;27-Oct-17;
F Behardien (SA);32;0;34;21;2;2;152.38;1;v England;Taunton;23-Jun-17;
BR Dunk (AUS);32;0;20;14;3;3;228.57;1;v Sri Lanka;Geelong;19-Feb-17;
CK Kapugedera (SL);32;0;35;32;4;0;100;2;v Australia;Geelong;19-Feb-17;
JJ Roy (ENG);32;0;32;23;4;1;139.13;2;v India;Bengaluru;01-Feb-17;
M Mosehle (SA);32;1;17;15;1;3;213.33;1;v Sri Lanka;Cape Town;25-Jan-17;
JC Buttler (ENG);32;1;20;17;2;3;188.23;2;v New Zealand;Delhi;30-Mar-16;
KS Williamson (NZ);32;0;47;28;3;1;114.28;1;v England;Delhi;30-Mar-16;
Umar Akmal (PAK);32;0;20;20;3;1;160;2;v Australia;Mohali;25-Mar-16;
J Charles (WI);32;0;47;35;2;1;91.42;2;v South Africa;Nagpur;25-Mar-16;
Sabbir Rahman (BDESH);32;1;55;29;2;0;110.34;1;v India;Dhaka;06-Mar-16;
Shakib Al Hasan (BDESH);32;0;52;34;3;0;94.11;1;v Sri Lanka;Dhaka;28-Feb-16;
JC Buttler (ENG);32;1;51;30;2;0;106.66;1;v South Africa;Cape Town;19-Feb-16;
CK Kapugedera (SL);32;0;-;27;3;1;118.51;2;v India;Ranchi;12-Feb-16;
R Mutumbami (ZIM);32;0;40;25;3;1;128;1;v Bangladesh;Khulna;22-Jan-16;
SC Williams (ZIM);32;0;50;26;2;1;123.07;1;v Bangladesh;Khulna;20-Jan-16;
KS Williamson (NZ);32;1;45;21;3;0;152.38;2;v Sri Lanka;Auckland;10-Jan-16;
JE Root (ENG);32;0;23;22;4;1;145.45;1;v Pakistan;Sharjah;30-Nov-15;
F Behardien (SA);32;1;54;23;4;1;139.13;2;v India;Dharamsala;02-Oct-15;
KS Williamson (NZ);32;0;40;31;3;1;103.22;1;v Pakistan;Dubai (DSC);05-Dec-14;
MJ Guptill (NZ);32;0;47;30;2;1;106.66;1;v Pakistan;Dubai (DSC);04-Dec-14;
AM Rahane (INDIA);32;0;41;30;2;1;106.66;2;v South Africa;Dhaka;04-Apr-14;
JC Buttler (ENG);32;0;35;23;4;0;139.13;1;v New Zealand;Chittagong;22-Mar-14;
JE Root (ENG);32;0;30;24;3;1;133.33;2;v Australia;Hobart;29-Jan-14;
Mohammad Hafeez (PAK);32;0;41;27;2;1;118.51;2;v Sri Lanka;Dubai (DSC);11-Dec-13;
S Dhawan (INDIA);32;0;40;19;5;0;168.42;2;v Australia;Rajkot;10-Oct-13;
BRM Taylor (ZIM);32;1;49;30;3;0;106.66;2;v Pakistan;Harare;23-Aug-13;
LRPL Taylor (NZ);32;1;40;19;2;1;168.42;1;v England;The Oval;25-Jun-13;
V Sibanda (ZIM);32;0;25;19;3;1;168.42;2;v Bangladesh;Bulawayo;12-May-13;
DM Bravo (WI);32;0;48;27;3;0;118.51;1;v Australia;Brisbane;13-Feb-13;
JC Buttler (ENG);32;1;19;16;2;3;200;1;v New Zealand;Auckland;09-Feb-13;
